Year;NHDC;Partos_vag;Cesareas
2013;493;0;0
2013;686;1110;391
2013;257;1157;855
2013;494;0;0
2013;681;0;0
2013;286;299;213
2013;255;141;148
2013;79;0;0
2013;81;0;0
2013;688;637;222
2013;531;693;217
2013;514;137;107
2013;499;0;0
2013;532;512;246
2013;190;0;0
2013;598;301;55
2013;260;2330;2210
2013;838;0;0
2013;839;0;0
2013;851;0;0
2013;852;1449;380
2013;988;0;0
2013;1056;1224;174
2013;1044;0;0
2013;644;1405;693
2013;752;971;303
2013;238;0;0
2013;325;0;0
2013;622;176;136
2013;879;0;0
2013;906;316;362
2013;370;0;0
2013;418;0;0
2013;574;0;0
2013;399;0;0
2013;195;0;0
2013;783;1907;298
2013;263;0;0
2013;194;0;0
2013;214;0;0
2013;785;4962;702
2013;780;0;0
2013;782;0;0
2013;369;0;0
2013;84;0;0
2013;713;0;0
2013;941;0;0
2013;1091;0;0
2013;1045;148;105
2013;1086;1613;501
2013;937;736;221
2013;1004;1;9
2013;737;1685;497
2013;765;3333;647
2013;329;0;0
2013;87;0;0
2013;527;0;0
2013;562;0;0
2013;251;2;0
2013;129;0;0
2013;154;0;0
2013;516;684;423
2013;184;84;38
2013;652;0;0
2013;637;174;66
2013;88;0;0
2013;907;0;0
2013;970;0;0
2013;1019;0;0
2013;1016;495;374
2013;1047;1106;262
2013;635;1814;629
